Sample,East,North,Elevation,holeid,from,to,Ag_ppm,Al_pct,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Fe_pct,Ga_ppm,Ge_ppm,Hf_ppm,In_ppm,K_pct,La_ppm,Li_ppm,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,SiO2,TiO2
1,12653.60489,5949.422692,1872.164223,DDH001,143.43,144.43,1.23,8.21,8.9,170,1.43,0.94,4.43,0.09,38.4,24,38,10.85,6.38,19.35,0.13,-0.1,0.065,2.12,15.7,20.8,2.05,330,130.5,2.38,3.4,30.4,1510,4.5,129.5,0.073,2.61,0.28,27.2,4,2.4,370,0.26,0.07,3.1,0.578,0.81,1.1,208,11.8,22,51,0.8,53.27,0.964391919
2,12654.25374,5949.308283,1871.379028,DDH001,144.43,145.48,1.38,7.97,3.8,210,1.5,0.56,4.85,0.06,45.7,23,59,9.86,5.68,18.55,0.15,0.1,0.071,2.29,18.8,23.9,1.96,261,282,2.34,3.2,32.3,1380,4,150.5,0.19,3.7,0.28,25.2,5,2.7,393,0.24,0.08,3.49,0.532,0.86,1.1,192,20.3,22.4,37,0.8,50.92,0.887641005
3,12654.90258,5949.193873,1870.593832,DDH001,145.48,146.48,1,8.18,5.3,220,1.8,0.8,4.72,0.06,44.9,27.7,42,9.7,6.39,18.6,0.14,0.1,0.052,2.38,18.8,24.2,1.94,269,252,2.03,3.1,30.2,1520,4.1,154,0.088,4.21,0.31,25.3,4,2.6,399,0.23,0.06,3.57,0.527,0.81,1.5,190,39.6,22.9,36,1,48.64,0.879298515
4,12655.53561,5949.082255,1869.827788,DDH001,146.48,147.48,1.5,7.22,12.6,290,1.55,1.48,4.4,0.06,38,27.2,91,7.8,7.89,19,0.12,0.1,0.068,2.03,16,20.8,1.45,244,176.5,2.19,2.6,23.3,1220,4.7,124,0.123,3.97,0.38,24.5,5,2.3,369,0.2,0.12,2.69,0.467,0.74,1.6,164,78,22.6,35,1.2,51.53,0.779188627
5,12656.18445,5948.967845,1869.042592,DDH001,147.48,148.53,1.36,7.21,7,170,1.24,0.57,4.4,0.06,38.3,26.8,54,9.71,5.69,18.65,0.11,0.1,0.062,1.74,16.1,22.3,1.84,260,117.5,2.08,2.7,31.1,1350,3.5,141,0.191,3.02,0.35,25.6,3,1.8,375,0.21,0.1,1.88,0.459,0.84,0.7,185,42.4,20,32,1.5,56.15,0.765840642
6,12656.8333,5948.853436,1868.257397,DDH001,148.53,149.53,1.23,7.58,6.3,160,1.24,0.46,4.8,0.04,36.7,24.7,79,12.1,5.38,19.9,0.14,0.1,0.062,2.2,15.1,27,2.01,217,40.6,2.01,2.4,30.6,1490,3.4,151.5,0.037,3.85,0.27,28,4,2.4,393,0.18,0.06,1.44,0.473,0.96,0.8,207,21.5,21.2,26,1,51.79,0.789199616
7,12657.46632,5948.741817,1867.491352,DDH001,149.53,150.53,1.36,6.81,1010,250,1.22,0.99,3.04,0.04,30.9,22.2,56,10.3,4.4,18.1,0.12,0.2,0.079,2.61,12.8,32,1.34,135,444,1.5,1.8,23.7,1190,3.9,183,0.276,4.18,23.5,20.6,7,3.5,337,0.12,0.21,1.52,0.351,0.98,1,170,30.2,14.5,19,0.7,60.15,0.585642844
8,12658.11517,5948.627408,1866.706157,DDH001,150.53,151.58,1.3,7.82,13.1,180,1.35,0.38,4.09,0.03,34.5,35,62,8.96,6.22,19.55,0.18,0.1,0.06,1.95,15,31.2,1.87,252,48.5,2.43,2.8,32.9,1490,3.9,150.5,0.05,2.9,0.28,25.9,5,1.9,397,0.18,0.09,1.98,0.474,0.93,0.7,189,8,20.7,27,0.8,54.00,0.790868114
9,12658.76402,5948.512998,1865.920961,DDH001,151.58,152.58,1.27,8.1,7.3,250,1.32,0.77,3.91,0.04,37.3,38.6,39,9.28,7.16,20,0.14,-0.1,0.058,2.27,16.5,31.3,1.95,262,49.1,2.23,2.8,35.4,1590,4.5,152,0.052,3.98,0.29,26,6,2.2,418,0.18,0.07,2.16,0.5,0.96,0.9,190,11.5,20.2,31,0.7,49.97,0.834249065
10,12659.39704,5948.401379,1865.154917,DDH001,152.58,153.58,1.45,8.29,6.5,230,1.37,0.52,4.46,0.06,38,29.8,67,8.35,6.31,20.7,0.15,0.1,0.06,2.01,16.8,28.7,1.93,303,134,2.57,3,31.2,1600,4.2,147.5,0.163,2.92,0.24,26.4,4,1.9,476,0.2,0.11,2.11,0.566,0.89,0.9,210,15.7,21.8,38,1.5,52.20,0.944369942
11,12660.04589,5948.28697,1864.369721,DDH001,153.58,154.63,1.18,9.17,4.4,290,1.47,0.54,5.44,0.08,41.4,27,49,6.58,7.38,23.5,0.17,0.2,0.088,1.35,17.6,18.9,1.92,528,153.5,2.8,4.2,28,1880,4.2,100.5,0.101,2.37,0.37,35.8,4,2.2,558,0.28,0.08,1.8,0.82,0.63,0.8,277,27.4,28.2,51,2.4,49.68,1.368168467
12,12660.69474,5948.172561,1863.584526,DDH001,154.63,155.63,4.08,8.56,3.7,250,1.52,0.73,5.17,0.08,38.4,26.3,80,7.02,7.08,22.6,0.16,0.1,0.096,1.36,16.7,19.1,1.82,491,28.9,2.53,4.4,24.7,1780,3.8,103,0.024,2.63,0.28,35.5,5,2.4,520,0.28,0.09,1.72,0.811,0.67,0.7,280,28,27.2,43,2.4,51.40,1.353151984
13,12661.32776,5948.060942,1862.818481,DDH001,155.63,156.63,0.89,8.42,3.5,220,1.21,0.76,5.31,0.04,40.2,26.1,41,7.49,7.09,22,0.16,0.2,0.088,1.39,17.3,19.4,1.88,444,27.7,2.31,4,24.4,1790,3.7,103.5,0.022,3.24,0.29,34.8,5,2.5,466,0.26,0.07,1.82,0.708,0.7,0.8,268,51.9,25.7,34,4.5,49.81,1.181296676
14,12661.97661,5947.946532,1862.033286,DDH001,156.63,157.68,1.3,8.67,4.6,210,1.27,0.36,5.47,0.06,40.7,22.4,64,5.57,7.02,22,0.15,0.2,0.103,1.1,17.2,16.9,1.77,518,16.2,2.44,4.3,23.1,1820,3.8,82.7,0.01,1.97,0.29,35.9,4,2.4,498,0.29,0.08,2.4,0.798,0.53,0.9,280,27.9,29.1,40,2.9,53.56,1.331461508
15,12662.62545,5947.832123,1861.24809,DDH001,157.68,158.68,1.46,8.3,27.8,220,1.32,0.66,4.94,0.06,44.9,44.4,43,7.86,6.4,23,0.2,0.2,0.106,1.52,19.6,22.3,1.76,331,64.9,2.48,3.7,27.2,1800,5.3,101.5,0.034,3.34,0.94,33.3,8,4.8,523,0.28,0.1,1.73,0.658,0.8,0.9,269,420,24.7,30,4,51.27,1.09787177
16,12663.25848,5947.720504,1860.482046,DDH001,158.68,159.68,2.14,7.59,16.5,240,1.18,1.47,4.98,0.07,34.7,45.8,62,7.33,6.81,19.9,0.18,0.1,0.114,1.68,14.4,21.6,1.34,179,41.2,2.35,2.4,28.1,1550,4.2,101.5,0.032,5.64,0.59,27.4,9,4,544,0.17,0.1,2.44,0.468,0.76,0.9,239,40.8,19.2,23,1.7,50.17,0.780857125
17,12663.67627,5947.646835,1859.976456,DDH001,159.68,160,1.44,9.32,35,230,1.39,0.56,4.99,0.14,42.1,27.9,38,9.25,7.23,23.6,0.19,0.2,0.116,1.55,17.9,25.2,1.83,327,343,2.54,3.2,27.7,1850,3.6,120,0.523,3.02,0.72,33,6,2.1,554,0.26,0.13,1.33,0.664,0.78,0.7,283,70.6,24.4,40,2.2,48.85,1.107882758
18,12664.07508,5947.576516,1859.493848,DDH001,160,160.94,1.44,9.32,35,230,1.39,0.56,4.99,0.14,42.1,27.9,38,9.25,7.23,23.6,0.19,0.2,0.116,1.55,17.9,25.2,1.83,327,343,2.54,3.2,27.7,1850,3.6,120,0.523,3.02,0.72,33,6,2.1,554,0.26,0.13,1.33,0.664,0.78,0.7,283,70.6,24.4,40,2.2,48.85,1.107882758
